,match_date,match_hour,week,country,league,venue,team,gf,ga,opponent,result,goal_diff
280,2024-12-07,17,15,England,Premier League,Home,Man United,2,3,Nottingham,0,-1
281,2024-12-15,16,16,England,Premier League,Away,Man United,2,1,Man City,1,1
282,2024-12-22,14,17,England,Premier League,Home,Man United,0,3,Bournemouth,0,-3
283,2024-12-26,17,18,England,Premier League,Away,Man United,0,2,Wolverhampton,0,-2
284,2024-12-30,20,19,England,Premier League,Home,Man United,0,2,Newcastle,0,-2
285,2025-01-05,16,20,England,Premier League,Away,Man United,2,2,Liverpool,2,0
286,2025-01-16,20,21,England,Premier League,Home,Man United,3,1,Southampton,1,2
287,2025-01-19,14,22,England,Premier League,Home,Man United,1,3,Brighton Hove,0,-2
288,2025-01-26,19,23,England,Premier League,Away,Man United,1,0,Fulham,1,1
289,2025-02-02,14,24,England,Premier League,Home,Man United,0,2,Crystal Palace,0,-2
290,2025-02-16,16,25,England,Premier League,Away,Man United,0,1,Tottenham,0,-1
291,2025-02-22,12,26,England,Premier League,Away,Man United,2,2,Everton,2,0
292,2025-02-26,19,27,England,Premier League,Home,Man United,3,2,Ipswich Town,1,1
293,2025-03-09,16,28,England,Premier League,Home,Man United,1,1,Arsenal,2,0
294,2025-03-16,19,29,England,Premier League,Away,Man United,3,0,Leicester City,1,3
295,2025-04-01,19,30,England,Premier League,Away,Man United,0,1,Nottingham,0,-1
296,2025-04-06,15,31,England,Premier League,Home,Man United,0,0,Man City,2,0
297,2025-04-13,15,32,England,Premier League,Away,Man United,1,4,Newcastle,0,-3
298,2025-04-20,13,33,England,Premier League,Home,Man United,0,1,Wolverhampton,0,-1
299,2025-04-27,13,34,England,Premier League,Away,Man United,1,1,Bournemouth,2,0
300,2025-05-04,13,35,England,Premier League,Away,Man United,3,4,Brentford,0,-1
301,2025-05-11,13,36,England,Premier League,Home,Man United,0,2,West Ham,0,-2
302,2025-05-16,19,37,England,Premier League,Away,Man United,0,1,Chelsea,0,-1
303,2025-05-25,15,38,England,Premier League,Home,Man United,2,0,Aston Villa,1,2
304,2024-08-17,14,1,England,Premier League,Home,Newcastle,1,0,Southampton,1,1
305,2024-08-25,13,2,England,Premier League,Away,Newcastle,1,1,Bournemouth,2,0
306,2024-09-01,12,3,England,Premier League,Home,Newcastle,2,1,Tottenham,1,1
307,2024-09-15,15,4,England,Premier League,Away,Newcastle,2,1,Wolverhampton,1,1
308,2024-09-21,14,5,England,Premier League,Away,Newcastle,1,3,Fulham,0,-2
309,2024-09-28,11,6,England,Premier League,Home,Newcastle,1,1,Man City,2,0
310,2024-10-05,16,7,England,Premier League,Away,Newcastle,0,0,Everton,2,0
311,2024-10-19,14,8,England,Premier League,Home,Newcastle,0,1,Brighton Hove,0,-1
312,2024-10-27,14,9,England,Premier League,Away,Newcastle,1,2,Chelsea,0,-1
313,2024-11-02,12,10,England,Premier League,Home,Newcastle,1,0,Arsenal,1,1
314,2024-11-10,14,11,England,Premier League,Away,Newcastle,3,1,Nottingham,1,2
315,2024-11-25,20,12,England,Premier League,Home,Newcastle,0,2,West Ham,0,-2
316,2024-11-30,15,13,England,Premier League,Away,Newcastle,1,1,Crystal Palace,2,0
317,2024-12-04,19,14,England,Premier League,Home,Newcastle,3,3,Liverpool,2,0
318,2024-12-07,15,15,England,Premier League,Away,Newcastle,2,4,Brentford,0,-2
319,2024-12-14,15,16,England,Premier League,Home,Newcastle,4,0,Leicester City,1,4
320,2024-12-21,15,17,England,Premier League,Away,Newcastle,4,0,Ipswich Town,1,4
321,2024-12-26,15,18,England,Premier League,Home,Newcastle,3,0,Aston Villa,1,3
322,2024-12-30,20,19,England,Premier League,Away,Newcastle,2,0,Man United,1,2
