,match_week,match_date,match_hour,league,home_id,home_name,away_id,away_name,winner,home_goals,away_goals
2946,7,2024-10-20,15,Bundesliga,11,Wolfsburg,12,Bremen,AWAY_TEAM,2,4
2947,8,2024-10-26,16,Bundesliga,12,Bremen,3,Leverkusen,DRAW,2,2
2948,9,2024-11-03,16,Bundesliga,18,M'gladbach,12,Bremen,HOME_TEAM,4,1
2949,10,2024-11-09,14,Bundesliga,12,Bremen,720,Holstein Kiel,HOME_TEAM,2,1
2950,11,2024-11-23,17,Bundesliga,19,Frankfurt,12,Bremen,HOME_TEAM,1,0
2951,12,2024-11-30,14,Bundesliga,12,Bremen,10,Stuttgart,DRAW,2,2
2952,13,2024-12-07,14,Bundesliga,36,Bochum,12,Bremen,AWAY_TEAM,0,1
2953,14,2024-12-14,17,Bundesliga,20,St. Pauli,12,Bremen,AWAY_TEAM,0,2
2954,15,2024-12-21,14,Bundesliga,12,Bremen,28,Union Berlin,HOME_TEAM,4,1
2955,16,2025-01-12,14,Bundesliga,721,RB Leipzig,12,Bremen,HOME_TEAM,4,2
2956,17,2025-01-15,19,Bundesliga,12,Bremen,44,Heidenheim,DRAW,3,3
2957,18,2025-01-19,16,Bundesliga,12,Bremen,16,Augsburg,AWAY_TEAM,0,2
2958,19,2025-01-25,14,Bundesliga,4,Dortmund,12,Bremen,DRAW,2,2
2959,20,2025-01-31,19,Bundesliga,12,Bremen,15,Mainz,HOME_TEAM,1,0
2960,21,2025-02-07,19,Bundesliga,5,Bayern,12,Bremen,HOME_TEAM,3,0
2961,22,2025-02-16,14,Bundesliga,12,Bremen,2,Hoffenheim,AWAY_TEAM,1,3
2962,23,2025-02-21,19,Bundesliga,17,Freiburg,12,Bremen,HOME_TEAM,5,0
2963,24,2025-03-01,14,Bundesliga,12,Bremen,11,Wolfsburg,AWAY_TEAM,1,2
2964,25,2025-03-08,14,Bundesliga,3,Leverkusen,12,Bremen,AWAY_TEAM,0,2
2965,26,2025-03-15,14,Bundesliga,12,Bremen,18,M'gladbach,AWAY_TEAM,2,4
